Protein,A0,A1,A2,B0,B2,C0,C2,C3,D0,D2,D3,E0,E1,E2,F0,F1,F2
IL-22 R,4119.5,3489.98,7114.83,2753.78,5919.25,5892.1,6617.29,3657.13,1375.19,1429.66,1.13,1341.43,1.13,1.1,34470.95,34643.5,94173.12
IL-23,1065.0,850.15,3025.15,1999.36,1.07,2644.9,1806.75,426.84,897.8,465.16,1.13,2652.61,1.13,1.1,50508.71,53380.1,96924.6
IL-23 R,3991.5,7493.76,1.17,4082.18,1.07,3475.66,4720.2,1.16,3100.25,8484.76,1.13,6720.59,1655.39,1.1,37360.66,45979.47,86368.61
IL-24,2686.75,5357.18,8924.89,4295.96,19333.14,3885.14,4103.29,10042.32,9016.74,5920.38,8390.03,8576.56,14435.08,6274.49,18110.4,24462.22,48182.87
IL-26,977.0,1193.04,4949.83,2509.92,4703.49,2652.55,1409.27,590.38,1024.39,443.01,1.13,6468.95,6647.82,1255.45,15865.91,28233.24,49021.54
IL-27,1661.25,1641.15,3140.35,2302.9,888.65,3055.25,2503.55,1145.1,1498.98,903.83,1.13,1390.65,106.13,1.1,18243.93,31696.9,71268.51
IL-28A,1854.0,981.99,1786.38,4028.56,1.07,5095.44,1775.19,1.16,1065.96,880.71,1.13,1437.45,1.13,1.1,28692.7,47382.67,93413.7
IL-29,8034.0,8239.97,65490.62,6981.67,25522.5,15222.69,5830.37,55523.91,4132.34,41289.54,45532.16,14195.88,30833.76,52307.51,142307.79,187738.35,214715.17
IL-31,1038.5,111.97,2673.72,2283.32,2526.09,3517.64,1645.23,1080.73,703.94,831.12,1.13,540.37,1.13,1.1,10225.83,18964.68,53229.88
IL-31 RA,737.0,35.07,3568.96,2323.88,2249.85,2785.69,1711.19,122.08,76.61,550.15,1.13,1426.85,1.13,1.1,10843.56,14854.8,49078.25
BACE-1,1115.75,153.8,2166.46,1714.23,1845.75,3621.7,2121.52,1.16,786.62,0.96,1.13,0.88,416.88,1.1,10572.24,15871.34,49134.96
FACX,4585.25,2411.02,14538.11,6163.6,12626.73,4624.31,1852.03,3104.73,2508.88,1272.92,4805.46,2596.32,12204.18,5923.72,37873.11,47939.78,97108.63
Insulin,6096.5,16065.01,5150.1,8069.94,5431.24,4540.35,13527.8,1546.71,2759.96,6448.86,3333.06,19305.09,14486.45,7116.25,48284.73,48428.22,56168.4
Insulin R,14267.5,25505.84,17272.35,17026.02,7507.15,14159.53,18983.32,5188.77,12737.09,23228.65,10658.12,29374.71,27939.86,14534.69,50853.57,56102.71,71481.46
Insulysin / IDE,1192.75,1355.51,7372.41,3256.88,4582.02,3941.98,2247.56,3359.62,1739.54,225.35,1.13,790.24,1296.37,1.1,34086.23,39571.26,86563.91
IP-10,679.25,67.82,1395.19,1875.8,3564.18,1227.57,0.87,1.16,219.78,0.96,1.13,0.88,2378.52,1.1,16664.77,21669.3,50150.52
I-TAC / CXCL11,3212.75,4219.92,5791.56,4797.9,19435.96,7468.15,1744.06,2652.38,9503.48,1861.1,1.13,3576.18,30210.28,2127.56,73484.7,68241.03,88423.77
Kininostatin / kininogen,8913.5,28728.98,32462.15,17904.7,25738.27,16451.57,24593.84,30493.49,14908.95,29477.67,20542.54,23000.24,31834.9,19153.56,66112.97,72988.95,97701.29
Kremen-1,2655.5,6178.82,4948.36,4865.28,3529.55,4399.56,5883.05,1459.43,2819.05,3479.28,1021.83,2307.15,1116.58,1.1,42456.55,57015.42,101802.23
Kremen-2,3082.5,5015.14,4636.99,2850.06,2752.52,2313.25,3755.87,1005.04,2549.05,2788.77,1.13,2398.54,2348.31,1.1,41258.24,97023.62,161349.71
Latent TGF-beta bp1,4372.25,5340.28,23921.72,10090.98,18909.86,8426.37,6140.13,7867.82,2423.17,5968.05,6801.74,920.26,28974.31,2679.53,16416.29,24738.52,40602.96
LBP,7169.75,15927.89,16841.98,10573.33,15421.87,11005.03,13599.42,15125.25,9864.09,16025.96,11071.76,9803.2,19072.15,6354.25,25426.78,37597.05,76071.02
Lck,3085.0,5009.65,3244.72,2896.92,1952.57,3048.69,3008.14,890.8,2197.08,1797.78,123.5,6976.87,7755.93,1635.76,80662.52,69892.75,131374.84
LECT2,1142.0,826.49,4865.92,3326.36,6591.87,2457.54,894.23,1968.62,1720.39,508.25,215.98,561.56,6811.52,1028.87,16126.39,25892.39,61374.29
Lefty - A,13860.0,12939.47,94907.15,9909.36,39663.08,18524.55,13292.92,39593.7,6438.73,21004.95,46562.45,13297.26,51299.95,29559.54,46531.4,106422.17,178596.24
Leptin (OB),1935.5,1469.6,6468.69,1866.94,2960.29,1806.7,473.89,130.78,724.5,0.96,1.13,26.27,672.32,1.1,25743.78,30993.05,78645.23
Leptin R,2177.0,801.56,2953.82,2076.29,5335.88,1929.13,818.7,1.16,1301.15,0.96,1.13,2168.53,7113.25,2932.61,24201.39,24533.34,110561.45
